Date,GOOGLE,AMZN
1/16/07,252.392395,38.66
1/17/07,248.888885,37.880001
1/18/07,244.159164,36.98
1/19/07,245.120117,37.02
1/22/07,240.66066,36.950001
1/23/07,239.764771,36.43
1/24/07,249.78479,37.259998
1/25/07,244.289291,37.080002
1/26/07,248.168167,36.849998
1/29/07,246.481476,37.43
1/30/07,247.40741,37.049999
1/31/07,251.001007,37.669998
2/1/07,241.116119,38.700001
2/2/07,240.990997,37.389999
2/5/07,233.813812,37.16
2/6/07,235.975983,38.27
2/7/07,235.240234,38.98
2/8/07,235.750748,39.099998
2/9/07,231.176178,38.720001
2/12/07,229.374374,38.849998
2/13/07,229.779785,39.310001
2/14/07,233.198196,40.139999
2/15/07,230.965973,40.060001
2/16/07,235.2052,40.330002
2/20/07,236.286285,41.509998
2/21/07,238.168167,41.259998
2/22/07,238.163162,41
2/23/07,235.545547,40.779999
2/26/07,232.697693,40.880001
2/27/07,224.609604,38.830002
2/28/07,224.949951,39.139999
3/1/07,224.33934,38.849998
3/2/07,219.559555,37.689999
3/5/07,220.695694,37.049999
3/6/07,229.003998,38.580002
3/7/07,228.04805,38.360001
3/8/07,227.587585,38.099998
3/9/07,226.706711,38.84
3/12/07,227.6026,38.810001
3/13/07,221.73674,37.82
3/14/07,224.224228,38.080002
3/15/07,223.318314,37.779999
3/16/07,220.645645,37.849998
3/19/07,223.838837,38.450001
3/20/07,222.862869,38.580002
3/21/07,228.50351,39.799999
3/22/07,231.251251,39.490002
3/23/07,231.146149,38.98
3/26/07,232.732727,39.009998
3/27/07,232.042038,39.369999
3/28/07,231.171173,39.34
3/29/07,230.690689,39.810001
3/30/07,229.309311,39.790001
4/2/07,229.494492,40.419998
4/3/07,236.53653,41.189999
4/4/07,235.745743,41.529999
4/5/07,235.990997,41.68
4/9/07,234.33934,41.66
4/10/07,233.48349,41.860001
4/11/07,232.497498,41.68
4/12/07,233.928925,42.27
4/13/07,233.378372,42.41
4/16/07,237.372375,45.200001
4/17/07,236.636642,45.07
4/18/07,238.24324,44.990002
4/19/07,236.061066,44.639999
4/20/07,241.481476,44.950001
4/23/07,239.779785,44.77
4/24/07,239.003998,44.75
4/25/07,239.234238,56.810001
4/26/07,240.830826,62.779999
4/27/07,239.744751,62.599998
4/30/07,235.925919,61.330002
5/1/07,234.734741,62.040001
5/2/07,233.123123,61.18
5/3/07,236.851852,62.189999
5/4/07,235.795792,63.23
5/7/07,233.868866,60.82
5/8/07,233.638641,61.830002
5/9/07,234.859863,62.849998
5/10/07,230.965973,60.919998
5/11/07,233.603607,61.560001
5/14/07,231.121124,61.700001
5/15/07,229.229233,60.580002
5/16/07,236.541534,63.220001
5/17/07,235.715714,62.169998
5/18/07,235.395401,63.299999
5/21/07,235.535538,68.300003
5/22/07,238.168167,68.879997
5/23/07,237.222229,69
5/24/07,237.402405,69.349998
5/25/07,242.001999,68.550003
5/29/07,243.798798,69.629997
5/30/07,249.549545,69.860001
5/31/07,249.204208,69.139999
6/1/07,250.450455,68.580002
6/4/07,253.788788,70.419998
6/5/07,259.679688,73.650002
6/6/07,259.384399,72.290001
6/7/07,257.787781,72.040001
6/8/07,258.002991,73.239998
6/11/07,255.925919,71.169998
6/12/07,252.637634,70.07
6/13/07,252.872879,70.889999
6/14/07,251.671677,71.940002
6/15/07,253.198196,72.400002
6/18/07,257.857849,71.830002
6/19/07,257.412415,69.809998
6/20/07,255.240234,69.099998
6/21/07,257.312317,69.669998
6/22/07,262.752747,68.860001
6/25/07,263.973969,68.660004
6/26/07,265.395386,67.480003
6/27/07,263.408417,68.139999
6/28/07,262.767761,68.889999
6/29/07,261.611603,68.410004
7/2/07,265.455444,69.610001
7/3/07,267.437439,69.449997
7/5/07,271.08609,68.730003
7/6/07,269.969971,68.970001
7/9/07,271.551544,72.07
7/10/07,271.941956,70.279999
7/11/07,272.507507,70.730003
7/12/07,272.937927,72.790001
7/13/07,276.356354,75.099998
7/16/07,276.771759,73.690002
7/17/07,277.777771,73.790001
7/18/07,275.025024,73.32
7/19/07,274.56958,73.349998
7/20/07,260.320313,71.629997
7/23/07,256.511505,71.739998
7/24/07,257.257263,69.25
7/25/07,255.135132,86.18
7/26/07,254.254257,84.010002
7/27/07,256.201202,84.040001
7/30/07,258.313324,82.699997
7/31/07,255.255249,78.540001
8/1/07,256.726715,77.309998
8/2/07,255.760757,79.709999
8/3/07,251.751755,76.800003
8/6/07,255.255249,79
8/7/07,258.26828,79.139999
8/8/07,263.153168,77.779999
8/9/07,257.62262,74.110001
8/10/07,258.133148,74.779999
8/13/07,258.007996,74.870003
8/14/07,254.55455,73.449997
8/15/07,249.024017,72.379997
8/16/07,246.006012,72.790001
8/17/07,250.270264,75.019997
8/20/07,249.209213,74.699997
8/21/07,253.558563,77.489998
8/22/07,256.631622,78.5
8/23/07,256.351349,77.300003
8/24/07,257.757751,79.25
8/27/07,256.886902,78.650002
8/28/07,253.453461,76.220001
8/29/07,256.696686,79.050003
8/30/07,255.955963,78.68
8/31/07,257.882874,79.910004
9/4/07,262.83783,82.699997
9/5/07,264.164154,83.75
9/6/07,262.022034,86.209999
9/7/07,259.934937,84.519997
9/10/07,257.497498,83.339996
9/11/07,260.925934,86.279999
9/12/07,261.586578,87.300003
9/13/07,262.652649,87.260002
9/14/07,264.639648,87.769997
9/17/07,262.912903,86.910004
9/18/07,267.902893,88.75
9/19/07,273.6987,89
9/20/07,276.691681,89.650002
9/21/07,280.330322,91.300003
9/24/07,284.294281,92.589996
9/25/07,284.78479,93.480003
9/26/07,284.364349,93.43
9/27/07,284.034027,93.379997
9/28/07,283.918915,93.150002
10/1/07,291.566559,93.410004
10/2/07,292.487488,92.360001
10/3/07,292.302307,92.459999
10/4/07,289.80481,92.260002
10/5/07,297.322327,93.43
10/8/07,305.115112,95.849998
10/9/07,307.897888,95.32
10/10/07,313.007996,94.660004
10/11/07,311.31131,89.339996
10/12/07,319.014008,92.370003
10/15/07,310.365356,90.529999
10/16/07,308.308319,89.529999
10/17/07,317.057068,90.550003
10/18/07,320.130127,89.849998
10/19/07,322.677673,89.760002
10/22/07,325.700714,91.290001
10/23/07,338.223236,100.82
10/24/07,338.24826,88.730003
10/25/07,334.5896,88.209999
10/26/07,337.637634,90
10/29/07,339.954956,90.099998
10/30/07,347.732727,88.239998
10/31/07,353.853851,89.150002
11/1/07,351.95697,87.650002
